github_account,position,group,laboratory,EX1,EX2,EX3,EX4,EX5,EX6,EX7,EX8
miuratakumiF4,b4,student,takeda-lab,yohei1273,kyo73,HikaruY358,Ken78K,tour2st,mattsunkun,MiyajiHikari,yohei1273
yohei1273,b4,student,takeda-lab,kyo73,HikaruY358,Ken78K,tour2st,mattsunkun,MiyajiHikari,miuratakumiF4,kyo73
kyo73,b4,student,takeda-lab,HikaruY358,Ken78K,tour2st,mattsunkun,MiyajiHikari,miuratakumiF4,yohei1273,HikaruY358
HikaruY358,b4,student,takeda-lab,Ken78K,tour2st,mattsunkun,MiyajiHikari,miuratakumiF4,yohei1273,kyo73,Ken78K
Ken78K,b4,student,takeda-lab,tour2st,mattsunkun,MiyajiHikari,miuratakumiF4,yohei1273,kyo73,HikaruY358,tour2st
tour2st,b4,student,toda-lab,mattsunkun,MiyajiHikari,miuratakumiF4,yohei1273,kyo73,HikaruY358,Ken78K,mattsunkun
mattsunkun,b4,student,toda-lab,MiyajiHikari,miuratakumiF4,yohei1273,kyo73,HikaruY358,Ken78K,tour2st,MiyajiHikari
MiyajiHikari,b4,student,toda-lab,miuratakumiF4,yohei1273,kyo73,HikaruY358,Ken78K,tour2st,mattsunkun,miuratakumiF4
imamuratakehiro,m1,reviewer,toda-lab,Unassigned,tour2st,Unassigned,HikaruY358,Unassigned,miuratakumiF4,yohei1273,Unassigned
zodiac-18,m1,reviewer,toda-lab,kyo73,mattsunkun,Unassigned,tour2st,Unassigned,MiyajiHikari,Unassigned,yohei1273
kenjiro-mk,m1,reviewer,takeda-lab,Unassigned,Ken78K,Unassigned,yohei1273,miuratakumiF4,tour2st,Unassigned,kyo73
morita-koki,m1,reviewer,takeda-lab,MiyajiHikari,Unassigned,Unassigned,miuratakumiF4,HikaruY358,mattsunkun,Unassigned,tour2st
kimi-research,m1,reviewer,takeda-lab,HikaruY358,Unassigned,MiyajiHikari,Unassigned,Unassigned,yohei1273,tour2st,Ken78K
shunsuke-iwashita,m1,reviewer,takeda-lab,Unassigned,miuratakumiF4,HikaruY358,Unassigned,Ken78K,kyo73,Unassigned,Unassigned
rei-alpha,m1,reviewer,takeda-lab,Unassigned,yohei1273,mattsunkun,MiyajiHikari,Unassigned,Ken78K,Unassigned,Unassigned
jworin,m1,reviewer,takeda-lab,Ken78K,MiyajiHikari,Unassigned,Unassigned,mattsunkun,Unassigned,kyo73,HikaruY358
agoyr,m1,reviewer,toda-lab,yohei1273,Unassigned,Unassigned,kyo73,tour2st,Unassigned,miuratakumiF4,Unassigned
tahayakawa,m2,reviewer,takeda-lab,miuratakumiF4,Unassigned,Ken78K,Unassigned,kyo73,Unassigned,HikaruY358,MiyajiHikari
KateSawada,m2,reviewer,toda-lab,tour2st,Unassigned,kyo73,Unassigned,MiyajiHikari,Unassigned,mattsunkun,miuratakumiF4
ryota-takedalab,m2,reviewer,takeda-lab,mattsunkun,Unassigned,miuratakumiF4,Ken78K,Unassigned,HikaruY358,Unassigned,Unassigned
sflren6741,m2,reviewer,takeda-lab,Unassigned,HikaruY358,yohei1273,mattsunkun,Unassigned,Unassigned,MiyajiHikari,Unassigned
kumasy107,m2,reviewer,takeda-lab,Unassigned,kyo73,tour2st,Unassigned,yohei1273,Unassigned,Ken78K,mattsunkun
